License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
2191999,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,MOXY LLC,,600 N GEDDES ST,,SYRACUSE,NY,13204,853772,10/17/2013,10/1/2015,9/30/2017,43.05490397,-76.17048489,"(43.05490397, -76.17048489)"
2192024,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,"BLACK OLIVE LLC, THE",THE BLACK OLIVE,250 S CLINTON ST,,SYRACUSE,NY,13202,845247,3/6/2009,3/2/2015,2/28/2017,43.04913774,-76.15356256,"(43.04913774, -76.15356256)"
2192035,LIQUOR STORE,222,L,Albany,2,ONONDAGA,WINE AT 105 LTD,,105 GREEN ST,,SYRACUSE,NY,13203,816639,11/12/2013,11/12/2013,10/31/2016,43.05347924,-76.14183891,"(43.05347924, -76.14183891)"
2192317,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,SMALL PLATES SYRACUSE LLC,ASTER PANTRY & PARLOR,116 118 WALTON ST,,SYRACUSE,NY,13202,853244,10/25/2013,10/1/2015,9/30/2017,43.0479688,-76.15471731,"(43.0479688, -76.15471731)"
2192603,LIQUOR STORE,222,L,Albany,2,ONONDAGA,EASTWOOD DISCOUNT LIQUORS INC,,2800 JAMES ST,,SYRACUSE,NY,13206,788205,2/10/2014,2/10/2014,1/31/2017,43.06878719,-76.10743796,"(43.06878719, -76.10743796)"
2193307,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,MANO A BOCCA INC,OTRO CINCO,206 S WARREN ST,,SYRACUSE,NY,13202,854945,11/4/2013,11/1/2015,10/31/2017,43.04947372,-76.15074709,"(43.04947372, -76.15074709)"
2193309,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,REVOLUTIONS AT DESTINY LLC,REVOLUTIONS,306 HIAWATHA BLVD,H302,SYRACUSE,NY,13208,854676,10/28/2013,10/9/2015,9/30/2017,43.07283694,-76.16496144,"(43.07283694, -76.16496144)"
2193528,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,SAI MERU INC,WESTCOTT GROCERY,477 WESTCOTT ST,,SYRACUSE,NY,13210,883645,10/28/2013,10/1/2016,9/30/2019,43.04246127,-76.11942575,"(43.04246127, -76.11942575)"
2193545,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,"CHEESECAKE FACTORY RESTAURANTS INC, THE",THE CHEESECAKE FACTORY,306 HIAWATHA BLVD W SUITE J112,1ST LEVEL,SYRACUSE,NY,13290,855462,1/8/2014,1/1/2016,12/31/2017,43.06758309,-76.16999024,"(43.06758309, -76.16999024)"
2193640,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,LOU JANE MARKET INC,,4615 S SALINA ST,,SYRACUSE,NY,13205,885699,11/12/2013,11/1/2016,10/31/2019,43.00248814,-76.14283909,"(43.00248814, -76.14283909)"
2194100,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,"317 CORP, THE",317 AT MONTGOMERY,317-319 MONTGOMERY ST,,SYRACUSE,NY,13202,830101,2/13/2014,2/1/2016,1/31/2018,43.04835305,-76.14928516,"(43.04835305, -76.14928516)"
2194182,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,ALAMO'S FOOD MARKET INC,,128 WALTON ST,,SYRACUSE,NY,13202,834198,1/27/2014,1/27/2014,12/31/2016,43.04796953,-76.1548114,"(43.04796953, -76.1548114)"
2194458,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,G&S FAMILY INC,GOOD BUDDYS PUB,4002 W GENESEE ST,,SYRACUSE,NY,13219,855184,1/23/2014,1/1/2016,12/31/2017,43.0463294,-76.24157188,"(43.0463294, -76.24157188)"
2194488,LIQUOR STORE,222,L,Albany,2,ONONDAGA,LAKELAND LIQUORS INC,LIQUOR WINE & MOONSHINE,755 STATE FAIR BLVD,CMARONEY@VPSUPPLY.COM,SYRACUSE,NY,13209,816922,3/17/2014,3/17/2014,2/28/2017,43.08615956,-76.23687127,"(43.08615956, -76.23687127)"
2194692,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,DIAEDDIN M SWEIKI,DIDO MARKET,2002 E FAYETTE ST,,SYRACUSE,NY,13224,816801,1/28/2014,1/28/2014,12/31/2016,43.04820806,-76.11470083,"(43.04820806, -76.11470083)"
2194767,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,TIP A FEW INC,,2802 JAMES ST,,SYRACUSE,NY,13206,864041,7/18/2014,7/1/2016,6/30/2018,43.06878818,-76.10741769,"(43.06878818, -76.10741769)"
2195090,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,PASCALE CO LLC,PASCALE ITALIAN BISTRO,800 NOTTINGHAM RD,,SYRACUSE,NY,13224,858878,4/28/2014,4/1/2016,3/31/2018,43.02082,-76.10556,"(43.02082, -76.10556)"
2195102,LIQUOR STORE,222,L,Albany,2,ONONDAGA,KID SID LLC,GEDDES LIQUOR & WINE,1021 W GENESEE ST,STE 2,SYRACUSE,NY,13204,872195,7/15/2014,11/1/2015,10/31/2018,43.05367244,-76.17125832,"(43.05367244, -76.17125832)"
2195138,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,ALHARBI ENTERPRISES INC,STOP ONE FOOD MARKET,315 S GEDDES ST,,SYRACUSE,NY,13204,817014,4/21/2014,4/21/2014,3/31/2017,43.04428,-76.17104,"(43.04428, -76.17104)"
2195589,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,LOCAL FOOD CONCEPTS LLC,MIDDLE AGES BEER GARDEN,1000 COLONEL EILEEN COLLINS BL,BLVD,SYRACUSE,NY,13212,863681,7/25/2014,7/1/2016,6/30/2018,43.11358,-76.11818,"(43.11358, -76.11818)"
2195591,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,LOCAL FOOD CONCEPTS LLC,MIDDLE AGES BAR & GRILL,1000 COLONEL EILEEN COLLINS BL,BLVD;  SYRACUSE INTERNATIONAL,SYRACUSE,NY,13212,864222,7/25/2014,7/6/2016,6/30/2018,43.11358,-76.11818,"(43.11358, -76.11818)"
2196051,SUMMER EATING PLACE BEER,441,SB,Albany,2,ONONDAGA,PASCALE CO LLC,DRUMLINS COUNTRY CLUB SNACK SHACK,800 NOTTINGHAM RD,T/O DEWITT,SYRACUSE,NY,13224,878244,6/9/2014,5/1/2016,10/31/2016,43.01529,-76.10404,"(43.01529, -76.10404)"
2196067,BALL PARK BEER,144,BP,Albany,2,ONONDAGA,PASCALE CO LLC,,800 NOTTINGHAM RD,,SYRACUSE,NY,13224,817227,6/9/2014,6/9/2014,5/31/2017,43.01529,-76.10404,"(43.01529, -76.10404)"
2196081,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,SECOND NORTH STREET DELI LLC,SECOND NORTH DELI,625 WOLF ST,,SYRACUSE,NY,13208,864008,7/31/2014,7/1/2016,6/30/2018,43.07484,-76.1616,"(43.07484, -76.1616)"
2196196,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,DUKEWAL INC,DAISY DUKES,207 WALTON ST,,SYRACUSE,NY,13202,864667,8/1/2014,8/1/2016,7/31/2018,0,0,"(0.0, 0.0)"
2196273,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,NAUGHTON RESTAURANT LLC,THE PALE & BUCKET PUB,4744 ONONDAGA BLVD,T/O GEDDES,SYRACUSE,NY,13219,865389,9/15/2014,9/1/2016,8/31/2018,43.03308,-76.18848,"(43.03308, -76.18848)"
2196402,SUMMER EATING PLACE BEER,441,SB,Albany,2,ONONDAGA,MMA ENTERPRISES INC,ANTHONYS 19TH HOLE,581 STATE FAIR BLVD,T/O GEDDES SPACE 329/329A,SYRACUSE,NY,13209,877635,7/25/2014,4/1/2016,10/31/2016,43.07151,-76.20664,"(43.07151, -76.20664)"
2196442,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,LA CASA LLC,POLONAISE,3006 ERIE BLVD EAST,,SYRACUSE,NY,13224,817464,8/5/2014,8/5/2014,7/31/2017,43.05527,-76.08617,"(43.05527, -76.08617)"
2196517,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,AREIAL M STURTEVANT,T&S DELI AND GROCERY,1223 BUTTERNUT ST,,SYRACUSE,NY,13208,855595,9/5/2014,9/5/2014,8/31/2017,43.06763,-76.14364,"(43.06763, -76.14364)"
2196658,FARM BREWER,106,FD,Albany,2,ONONDAGA,RED HAWK BREWING LTD,,4504 BUSSEY RD,,SYRACUSE,NY,13215,879837,8/21/2015,8/1/2016,7/31/2017,42.98761,-76.23225,"(42.98761, -76.23225)"
2196685,MICRO BREWER,101,MI,Albany,2,ONONDAGA,RED HAWK BREWING LTD,,4504 BUSSEY RD,,SYRACUSE,NY,13215,879838,8/21/2015,8/1/2016,7/31/2017,42.98761,-76.23225,"(42.98761, -76.23225)"
2196707,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,RED LOBSTER HOSPITALITY LLC,RED LOBSTER #0247,2965 ERIE BLVD E,,SYRACUSE,NY,13224,867108,10/30/2014,10/1/2016,9/30/2018,43.05557,-76.0877,"(43.05557, -76.0877)"
2197046,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,TMM VENTURES INC,MCNEILLY'S PUB,300 ROBINSON ST,,SYRACUSE,NY,13203,865455,9/9/2014,9/1/2016,8/31/2018,43.05788,-76.12336,"(43.05788, -76.12336)"
2197070,LIQUOR STORE,222,L,Albany,2,ONONDAGA,CAMILLUS LIQUORS INC,,120 TOWNSHIP BLVD,SUITE 20,SYRACUSE,NY,13210,856078,10/30/2014,10/30/2014,9/30/2017,0,0,"(0.0, 0.0)"
2197077,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,NASSER ENTERPRISES INC,RAFFI'S MARKET,936 938 N SALINA ST,,SYRACUSE,NY,13208,856113,11/7/2014,11/7/2014,10/31/2017,0,0,"(0.0, 0.0)"
2197154,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,MIZU JAPANESE STEAK HOUSE INC,MIZU JAPANESE STEAK HOUSE INC,2835 ERIE BLVD EAST,,SYRACUSE,NY,13224,845563,12/4/2014,12/4/2014,11/30/2016,43.05569,-76.09316,"(43.05569, -76.09316)"
2197257,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,CHEERS UNLIMITED ENTEPRISE INC,TILTED KILT PUB & EATERY,3019 ERIE BLVD E,,SYRACUSE,NY,13224,845562,12/4/2014,12/4/2014,11/30/2016,43.0556,-76.08641,"(43.0556, -76.08641)"
2197278,CATERING ESTABLISHMENT,246,CT,Albany,2,ONONDAGA,INFINITY EVENTS INC,SKY ARMORY,332 S SALINA ST,,SYRACUSE,NY,13202,845693,2/6/2015,2/6/2015,1/31/2017,43.04813,-76.1523,"(43.04813, -76.1523)"
2197406,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,A L T FUEL & FOOD INC,,5846 S SALINA ST,,SYRACUSE,NY,13205,856100,11/6/2014,11/6/2014,10/31/2017,42.98587,-76.14382,"(42.98587, -76.14382)"
2197435,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,VALUETRANSFORMED HOMES LLC,,523 S MAIN ST,,SYRACUSE,NY,13212,856421,2/18/2015,2/18/2015,1/31/2018,43.12522,-76.13824,"(43.12522, -76.13824)"
2197498,AIRLINE COMPANY,260,AL,Albany,2,ONONDAGA,PSA AIRLINES INC,,1000 COL EILEEN COLLINS BLVD,SYRACUSE HANCOCK ITNTNL ARPORT,SYRACUSE,NY,13212,867081,10/9/2014,10/1/2016,9/30/2018,,,
2197738,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,WHEELZ NOW LLC,MAXWELLS,122 126 E GENESEE ST,,SYRACUSE,NY,13202,845728,2/23/2015,2/23/2015,1/31/2017,0,0,"(0.0, 0.0)"
2197753,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,TONYS QUICK BITE INC,,216 NIAGARA ST,AKA 300 OTISCO ST,SYRACUSE,NY,13204,856362,1/22/2015,1/22/2015,12/31/2017,43.04608,-76.1618,"(43.04608, -76.1618)"
2197766,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,SHQAIR LLC,SAB'S,121 BALLANTYNE RD,,SYRACUSE,NY,13205,856750,6/1/2015,6/1/2015,5/31/2018,43.01063,-76.14278,"(43.01063, -76.14278)"
2197997,"GROCERY CHAIN, WINE PROD",128,AX,Albany,2,ONONDAGA,CST NEW YORK LLC,NICE N EASY GROCERY SHOPPE #3997,3787 W SENECA TPKE,,SYRACUSE,NY,13215,885082,2/20/2015,7/15/2016,1/31/2018,42.98933,-76.25057,"(42.98933, -76.25057)"
2198038,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,VAULT DOOR LLC,THE YORK,247 W FAYETTE ST,,SYRACUSE,NY,13202,845657,1/20/2015,1/20/2015,12/31/2016,43.04848,-76.15517,"(43.04848, -76.15517)"
2198108,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,110 WOLF STREET INC,STELLA'S DINER,110 WOLF ST,,SYRACUSE,NY,13208,799607,1/2/2015,1/1/2017,12/31/2018,43.06907,-76.16523,"(43.06907, -76.16523)"
2198186,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,COMERS CATERING CORP,CATHYS CORNER CAFE,929 AVERY AVE,,SYRACUSE,NY,13204,845669,1/22/2015,1/22/2015,12/31/2016,43.05498,-76.19694,"(43.05498, -76.19694)"
2198197,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,BYBLOS SYR LLC,BYBLOS BAR & GRILL,316 S CLINTON ST,,SYRACUSE,NY,13202,845683,1/30/2015,1/30/2015,12/31/2016,0,0,"(0.0, 0.0)"
2198206,"GROCERY CHAIN, WINE PROD",128,AX,Albany,2,ONONDAGA,MIRABITO HOLDINGS INC,MIRABITO #10 FAY RD,4269 FAY RD,,SYRACUSE,NY,13219,856342,1/15/2015,1/15/2015,10/31/2017,0,0,"(0.0, 0.0)"
2198237,"DRUG CHAIN, WINE PROD",126,DX,Albany,2,ONONDAGA,KPH HEALTHCARE SERVICES INC,KINNEY DRUGS #87,406 BUTTERNUT ST,,SYRACUSE,NY,13208,873900,1/8/2015,1/1/2016,12/31/2018,43.05881,-76.14931,"(43.05881, -76.14931)"
2198279,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,FUNK 'N WAFFLES LLC,,727 S CROUSE AVE,STE 8,SYRACUSE,NY,13210,816078,2/19/2015,2/19/2015,1/31/2017,43.04206,-76.13583,"(43.04206, -76.13583)"
2198292,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,CHUNG XING INC,NEW FUJI BUFFET,2960 ERIE BLVD EAST,,SYRACUSE,NY,13224,816096,3/19/2015,3/19/2015,2/28/2017,43.05449,-76.08783,"(43.05449, -76.08783)"
2198326,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,STRADA MIA LLC,STRADA MIA,311 313 N GEDDES ST,,SYRACUSE,NY,13204,845731,2/24/2015,2/24/2015,1/31/2017,0,0,"(0.0, 0.0)"
2198473,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,IMCMV SYRACUSE LLC & IMCMV HOLDINGS INC,JIMMY BUFFETT'S MARGARITAVILLE,306 HIAWATHA BLVD,L-323,SYRACUSE,NY,13204,852328,1/23/2015,2/12/2016,12/31/2016,43.06835,-76.16946,"(43.06835, -76.16946)"
2198519,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,ALTO CINCO INC,,526 WESTCOTT ST,DELL AND SOUTH BEECH,SYRACUSE,NY,13210,845684,1/30/2015,1/30/2015,12/31/2016,43.04099,-76.11937,"(43.04099, -76.11937)"
2198527,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,MODERN MALT INC,,325 S CLINTON ST,,SYRACUSE,NY,13202,845702,2/12/2015,2/12/2015,1/31/2017,0,0,"(0.0, 0.0)"
2198844,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,CASA DE CUSE INC,,742 S BEECH ST,,SYRACUSE,NY,13210,856613,4/20/2015,4/20/2015,3/31/2018,43.04015,-76.11985,"(43.04015, -76.11985)"
2198857,SUMMER O.P. FOOD & BEV,548,SL,Albany,2,ONONDAGA,GEPETTOS OF DEWITT INC,THE WEST END,581 STATE FAIR BLVD,T/O GEDDES SPACE 639,SYRACUSE,NY,13209,858459,3/11/2015,5/1/2016,10/31/2016,43.07151,-76.20664,"(43.07151, -76.20664)"
2198859,SUMMER O.P. FOOD & BEV,548,SL,Albany,2,ONONDAGA,GEPETTOS OF DEWITT INC,CAHOOT'S ALE HOUSE,581 STATE FAIR BLVD,SPACE 519,SYRACUSE,NY,13209,858460,3/11/2015,5/1/2016,10/31/2016,43.07151,-76.20664,"(43.07151, -76.20664)"
2198865,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,LIEHS & STEIGERWALD INC,LIEHS & STEIGERWALD DOWNTOWN,117 E FAYETTE ST,,SYRACUSE,NY,13202,816158,6/24/2015,6/24/2015,5/31/2017,43.04873,-76.15143,"(43.04873, -76.15143)"
2198878,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,LOFO LLC,,214 WALTON ST,,SYRACUSE,NY,13202,816109,4/10/2015,4/10/2015,3/31/2017,43.04804,-76.15622,"(43.04804, -76.15622)"
2198934,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,BAMBOO HOUSE ASIAN RESTAURANT INC,,252 W GENESEE ST,,SYRACUSE,NY,13202,822722,4/27/2015,4/27/2015,3/31/2017,43.05203,-76.15466,"(43.05203, -76.15466)"
2198966,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,ASIA SUPER MARKET SYRACUSE INC,ASIA SUPER MARKET SYRACUSE,1441 1449 ERIE BLVD E,AND 1501 ERIE BLVD,SYRACUSE,NY,13202,848016,7/2/2015,7/2/2015,6/30/2018,0,0,"(0.0, 0.0)"
2199008,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,ARMORY SQUARE DELI INC,,317 W FAYETTE ST,,SYRACUSE,NY,13202,856625,4/27/2015,4/27/2015,3/31/2018,43.04849,-76.15605,"(43.04849, -76.15605)"
2199017,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,BASSAM HOOD SAAD,NORTH SIDE MARKET,106 OAK ST,,SYRACUSE,NY,13203,856621,4/24/2015,4/24/2015,3/31/2018,43.05277,-76.133,"(43.05277, -76.133)"
2199081,MICRO BREWER,101,MI,Albany,2,ONONDAGA,HALF IN THE BAG BREWERY LLC,WILLOW ROCK BREWING COMPANY,115 GAME RD,,SYRACUSE,NY,13210,881378,8/12/2015,8/1/2016,7/31/2017,43.01251,-76.13179,"(43.01251, -76.13179)"
2199092,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,E & M GOODTIME LLC,ERICH & MICKEY'S GOODTIME SALOON,103 GALSTER AVE,,SYRACUSE,NY,13206,845885,4/16/2015,4/16/2015,3/31/2017,43.0749,-76.12254,"(43.0749, -76.12254)"
2199096,WHOLESALE WINE,303,WW,Albany,2,ONONDAGA,M E BURGESS & CO LLC,M E BURGESS CHURCH SUPPLY,2300 BREWERTON RD,UNIT 3C,SYRACUSE,NY,13211,879869,4/14/2015,5/23/2016,2/28/2019,43.09916,-76.14484,"(43.09916, -76.14484)"
2199110,WINE STORE,322,W,Albany,2,ONONDAGA,EASTWOOD WINE CELLAR LLC,,3515 JAMES ST,,SYRACUSE,NY,13206,870734,10/2/2015,10/2/2015,9/30/2018,43.0693,-76.09789,"(43.0693, -76.09789)"
2199259,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,SANDI VENTURES LLC,WORLD OF BEER,306 HIAWATHA BLVD W,UNIT J309,SYRACUSE,NY,13204,846308,8/12/2015,8/12/2015,7/31/2017,43.06845,-76.17133,"(43.06845, -76.17133)"
2199316,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,PATS BAR & GRILL INC,,3898 NEW COURT AVE,,SYRACUSE,NY,13206,846174,6/29/2015,6/29/2015,5/31/2017,43.08057,-76.11475,"(43.08057, -76.11475)"
2199325,LIQUOR STORE,222,L,Albany,2,ONONDAGA,MICHAEL J & SHARON A & JONATHAN M HALLINAN,HALLINAN LIQUOR STORE,3504 W GENESEE ST,,SYRACUSE,NY,13219,856559,3/30/2015,3/30/2015,9/30/2017,43.04877,-76.23177,"(43.04877, -76.23177)"
2199347,LIQUOR STORE,222,L,Albany,2,ONONDAGA,NEDROW DISCOUNT LIQUORS LLC,NEDROW DISCOUNT LIQUORS,5957 S SALINA ST,,SYRACUSE,NY,13205,848147,10/15/2015,10/15/2015,9/30/2018,42.9839,-76.1432,"(42.9839, -76.1432)"
2199364,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,DIVISION STREET MARKET INC,,318 E DIVISION ST,,SYRACUSE,NY,13208,856967,7/10/2015,7/10/2015,6/30/2018,43.06077,-76.1519,"(43.06077, -76.1519)"
2199374,LIQUOR STORE,222,L,Albany,2,ONONDAGA,DIVINE WINES AND LIQUORS LLC,DIVINE WINES AND LIQUORS,2032 S SALINA ST,,SYRACUSE,NY,13205,848166,11/6/2015,11/6/2015,10/31/2018,43.02671,-76.14591,"(43.02671, -76.14591)"
2199479,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,LOCAL FOOD CONCEPTS LLC,JOHNNY ROCKETS,1000 COL EILEEN COLLINS BLVD,,SYRACUSE,NY,13212,845974,5/7/2015,5/7/2015,4/30/2017,0,0,"(0.0, 0.0)"
2199542,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,BRIGHTON FOOD MART CORP,,204 W BRIGHTON AVE,,SYRACUSE,NY,13205,870832,11/4/2015,11/4/2015,10/31/2018,43.02037,-76.14643,"(43.02037, -76.14643)"
2199580,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,RRM II INC,THE CHOPHOUSE ON WARING,200 WARING RD,,SYRACUSE,NY,13224,846314,8/13/2015,8/13/2015,7/31/2017,43.02259,-76.10045,"(43.02259, -76.10045)"
2199608,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,R J GRAHAM GOLF INC,,4040 TANNER RD,T/O ONONDAGA,SYRACUSE,NY,13215,846173,6/26/2015,6/26/2015,5/31/2017,42.94509,-76.23353,"(42.94509, -76.23353)"
2199631,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,MARIA HOT FOOD AND GROCERY INCORPORATED,MARIA HOT FOOD AND GROCERY,745 S GEDDES ST,STORE 2,SYRACUSE,NY,13204,847951,5/22/2015,5/22/2015,4/30/2018,43.04016,-76.17206,"(43.04016, -76.17206)"
2199762,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,FUNK 'N WAFFLES 2 LLC,FUNK N WAFFLES,307 313 S CLINTON ST,,SYRACUSE,NY,13202,846133,6/24/2015,6/24/2015,5/31/2017,0,0,"(0.0, 0.0)"
2199948,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,401 SOUTH CLINTON STREET INC,PEPPINO'S NEAPOLITAN EXPRESS,409 S CLINTON ST,,SYRACUSE,NY,13202,816244,10/22/2015,10/22/2015,9/30/2017,43.04786,-76.15349,"(43.04786, -76.15349)"
2200090,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,HEYDAR MELEKIZADE,H M GASMART,3200 S SALINA ST,,SYRACUSE,NY,13205,877068,1/19/2016,1/19/2016,12/31/2018,43.01718,-76.14146,"(43.01718, -76.14146)"
2200141,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,JEWISH HOME OF CENTRAL NY INC & SODEXO OPS LLC,THE BISTRO AT MENORAH PARK,4101 E GENESEE ST,,SYRACUSE,NY,13214,846246,7/22/2015,7/22/2015,6/30/2017,43.03666,-76.0746,"(43.03666, -76.0746)"
2200144,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,WOLFF'S BIERGARTEN SYRACUSE INC,WOLFF'S BIERGARTEN,106 MONTGOMERY ST,,SYRACUSE,NY,13202,852126,11/12/2015,11/12/2015,10/31/2017,43.05017,-76.14959,"(43.05017, -76.14959)"
2200482,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,PARNELL BROS LLC,PAR'S INDOOR GOLF,3179 ERIE BLVD E,STE 110 T/O DEWITT,SYRACUSE,NY,13214,852064,10/22/2015,10/22/2015,9/30/2017,43.05485,-76.07353,"(43.05485, -76.07353)"
2200508,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,LYNCOURT DELI LLC,,2342 COURT ST,,SYRACUSE,NY,13208,870725,9/30/2015,9/30/2015,8/31/2018,43.08328,-76.13731,"(43.08328, -76.13731)"
2200520,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,NASHWAN K FAKHRI,SEDRA MARKET,901 S GEDDES ST,,SYRACUSE,NY,13204,870604,8/24/2015,8/24/2015,7/31/2018,43.03875,-76.17255,"(43.03875, -76.17255)"
2200730,TAVERN WINE,344,TW,Albany,2,ONONDAGA,SALT CITY POP SHOP LLC,NOW & LATER,620 ULSTER ST,,SYRACUSE,NY,13204,870989,12/22/2015,12/22/2015,11/30/2017,43.04654,-76.19028,"(43.04654, -76.19028)"
2200845,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,125 EAST WATER LLC,THE EVERGREEN,125 E WATER ST,,SYRACUSE,NY,13202,852079,10/27/2015,10/27/2015,9/30/2017,43.05058,-76.15178,"(43.05058, -76.15178)"
2201013,LIQUOR STORE,222,L,Albany,2,ONONDAGA,200 LODI LLC,LUCKY 7 LIQUOR & WINE,200 LODI ST,,SYRACUSE,NY,13203,885469,10/17/2016,10/17/2016,9/30/2019,43.05251,-76.13253,"(43.05251, -76.13253)"
2201152,HOTEL LIQUOR,242,HL,Albany,2,ONONDAGA,"APPLE NINE HOSP OWNERSHIP INC, APPLE NINE HOSP MGT",INC & ARMORY SQUARE II HOTEL BEV MGT LLC,300 W FAYETTE ST,,SYRACUSE,NY,13202,839697,12/28/2015,12/28/2015,11/30/2017,43.04885,-76.15616,"(43.04885, -76.15616)"
2201157,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,GC FRIDAYS NY LLC,TGI FRIDAYS,306 HIAWATHA BLVD W,SPACE L 303,SYRACUSE,NY,13204,852486,2/24/2016,3/16/2016,1/31/2018,43.06835,-76.16946,"(43.06835, -76.16946)"
2201169,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,ROYAL GROCERY LLC,ROYAL GROCERY,717 KIRKPATRICK ST,,SYRACUSE,NY,13208,870978,12/18/2015,12/18/2015,11/30/2018,43.07061,-76.15261,"(43.07061, -76.15261)"
2201375,HOTEL LIQUOR,242,HL,Albany,2,ONONDAGA,SALINA HOTEL LLC,COMFORT INN & SUITES AIRPORT,6701 BUCKLEY RD,,SYRACUSE,NY,13212,852232,12/29/2015,12/29/2015,11/30/2017,43.09614,-76.16969,"(43.09614, -76.16969)"
2201482,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,MULTANI FOOD MART INC,,2008 SOUTH AVE,,SYRACUSE,NY,13207,877001,12/24/2015,12/24/2015,11/30/2018,43.01829,-76.16177,"(43.01829, -76.16177)"
