FACILITY,ADDRESS,LAST INSPECTED,VIOLATIONS,TOTAL # CRITICAL VIOLATIONS,TOTAL #CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,DESCRIPTION, LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY ADDRESS,CITY,ZIP CODE,NYSDOH GAZETTEER (1980),MUNICIPALITY,OPERATION NAME,PERMIT EXPIRATION DATE,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTOR ID,INSPECTION COMMENTS,FOOD SERVICE FACILITY STATE,Location1
Mulrooney's                         ,"239 WEST Fayette STREET,  Syracuse",08/28/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,9,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,239 WEST Fayette STREET,Syracuse,13202    ,330100,SYRACUSE,Mulrooney's,01/31/2017,,"Mulcorp, Inc.","Rainone, III",Joseph,293347,Inspection,,,NY,"(43.048639, -76.154341)"
Lao Village Stand at Reg Mkt & Downt,"2100 Park STREET,  Syracuse",08/15/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,2100 Park STREET,Syracuse,13208    ,330100,SYRACUSE,Lao Village Stand at Reg Mkt & D'town Farmers Mkt,01/31/2017,,Lao Village Inc.,Sisombath,Keo,294379,Inspection,,,NY,"(43.073105, -76.168889)"
John Vendetti Post #1               ,"500-502 Danforth STREET,  Syracuse",04/21/2016,"Item  1H-  Critical Violation [RED] Food from unapproved source, spoiled, adulterated on premises.; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; ",2,0,1,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,500-502 Danforth STREET,Syracuse,13208    ,330100,SYRACUSE,John Vendetti Post #1,01/31/2017,,"Ital. Amer. War Vet. U.S., Inc",Mann,George,292572,Inspection,,,NY,"(43.066727, -76.157247)"
Froggers on the Hill                ,"4543 WEST Seneca TURNPIKE,  Syracuse",03/14/2016,"Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,3,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,4543 WEST Seneca TURNPIKE,Syracuse,13215    ,336100,ONONDAGA,Froggers on the Hill,01/31/2017,,"Frog Ventures, Inc.",Besner,Robert,749048,Inspection,,,NY,"(43.001004, -76.19543)"
Tonini's Pizzeria                   ,"6059 EAST Taft ROAD,  Syracuse",04/25/2016,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; ",0,0,7,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,6059 EAST Taft ROAD,Syracuse,13212    ,335100,CICERO,Tonini's Pizzeria,01/31/2017,,Tonini's LLC,Ranauro,Lucinda,816804,Inspection,,,NY,"(43.124953, -76.101525)"
JJ's Boca Grande                    ,"258 EAST Water STREET,  Syracuse",03/15/2016,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,7,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,258 EAST Water STREET,Syracuse,13202    ,330100,SYRACUSE,JJ's Boca Grande,01/31/2017,,"JJ's Boca Grande, Inc.",Todisco,Joseph,726289,Inspection,,,NY,"(43.050445, -76.149919)"
Unique Tea House                    ,"171 Marshall STREET,  Syracuse",10/21/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,171 Marshall STREET,Syracuse,13210    ,330100,SYRACUSE,Unique Tea House,01/31/2017,,"Unique Tea House, Inc. ",Chen,Jun,796690,Re-Inspection,,"Today's reinspection finds all previous violations have been corrected.  Recommend abate, no further action is necessary.  Continue to treat monthly for pests, and to clean up any droppings.",NY,"(43.041645, -76.135109)"
Vincent House                       ,"500 Seymour STREET,  Syracuse",05/05/2015,"Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,3,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,500 Seymour STREET,Syracuse,13204    ,330100,SYRACUSE,Vincent House,01/31/2017,,Catholic Charities,Kelso,Scott,693545,Inspection,,,NY,"(43.042101, -76.168379)"
Brooklyn Pickle (The)               ,"2222 Burnet AVENUE,  Syracuse",10/28/2015,"Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 11D-   Non food contact surfaces of equipment not clean; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded; ",2,0,9,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,2222 Burnet AVENUE,Syracuse,13206    ,330100,SYRACUSE,Brooklyn Pickle (The),01/31/2017,,"Brownstone's on Burnet, Inc.",Sniper,Kenneth,292554,Inspection,,Dawn Watkins is coinspector,NY,"(43.058248, -76.105045)"
Mothers Cupboard                    ,"3709 James STREET,  Syracuse",10/14/2015,"Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,1,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,3709 James STREET,Syracuse,13206    ,330100,SYRACUSE,Mothers Cupboard,01/31/2017,,"KRK Enterprises, LLC",Easton,Amy,294003,Re-Inspection,,Wall under three bay sink is scheduled to be repaired during a shut down of the restaurant for maintenance. Reinspection reveals that the majority  of violations cited during the inspection on 9/29/15 have been corrected. Recommend abatement.,NY,"(43.069509, -76.093187)"
Chicken Now                         ,"9763 Carousel Center DRIVE,  Syracuse",10/26/2015,"Item 14A-   Insects, rodents present; ",0,0,1,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,9763 Carousel Center DRIVE,Syracuse,13290    ,330100,SYRACUSE,Chicken Now,01/31/2017,,Chicken Now Syracuse Corp.,Chen,Wei,685545,Re-Inspection,,Reinspection conducted on this date.  The majority of the violations have been corrected at this time.  Stipulation can be accepted at this time.  Co-inspector HM,NY,"(43.070633, -76.169897)"
Burger King                         ,"3930 SOUTH Salina STREET,  Syracuse",02/10/2016,"Item  6A-  Critical Violation [RED] Potentially hazardous foods are not kept at or above 140oF during hot holding.; Item 11D-   Non food contact surfaces of equipment not clean; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",1,0,6,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,3930 SOUTH Salina STREET,Syracuse,13205    ,330100,SYRACUSE,Burger King,01/31/2017,,"Bart-Rich Enterprises, Inc.",Bartlett,Mark,292661,Inspection,,,NY,"(43.010407, -76.142287)"
The Determination Center of CNY     ,"1654 WEST Onondaga STREET,  Syracuse",07/20/2015,No violations found.,0,0,0,SED Summer Feeding Prog. - SED Satellite Feeding Site,Onondaga County,ONONDAGA,1654 WEST Onondaga STREET,Syracuse,13204    ,330100,SYRACUSE,The Determination Center of CNY,08/14/2015,,Bishop Ludden Jr/Sr High School,McAuliffe,Mavourneen,710115,Inspection,,Chicken patties noted >140 Deg F.   Milk in reach in cooler <45 Deg F.   Conditions satisfactory to operate.,NY,"(43.033765, -76.181176)"
Jungle Cafe                         ,"1 Conservation PLACE,  Syracuse",07/22/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,1 Conservation PLACE,Syracuse,13204    ,330100,SYRACUSE,Jungle Cafe,01/31/2017,,Friends of the Rosamond Gifford Zoo,Mahler,James,294766,Re-Inspection,,Reinspection revealed walk in cooler is maintaining temperatures <45 Deg F.   All other violations from 7/21 inspection have been corrected.  Recommend to abate.,NY,"(43.044971, -76.176611)"
Bruegger's Bagel Bakery             ,"3065 Erie Boulevard East,  Syracuse",02/23/2016,"Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; ",0,0,2,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,3065 Erie Boulevard East  ,Syracuse,13224    ,330100,SYRACUSE,Bruegger's Bagel Bakery,01/31/2017,,"Flour City Bagels, LLC",Gaylord,Doug,293848,Inspection,,,NY,"(43.055636, -76.084985)"
Boys & Girls Club of Syracuse       ,"212 VanBuren STREET,  Syracuse",05/06/2015,"Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; ",0,0,5,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,212 VanBuren STREET,Syracuse,13202    ,330100,SYRACUSE,Boys & Girls Club of Syracuse,01/31/2017,,Boys & Girls Club of Syracuse,Dee,Tina,585556,Inspection,,"Inspection was conducted on April 29, 2015",NY,"(43.037396, -76.144523)"
SU Club 44                          ,"900 Irving AVENUE,  Syracuse",09/12/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); ",0,0,2,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,900 Irving AVENUE,Syracuse,13244    ,330100,SYRACUSE,SU Club 44,01/31/2017,,Syracuse University,,,722352,Inspection,,,NY,"(43.037568, -76.13832)"
Cerio's Tavern                      ,"1711 Grant BOULEVARD,  Syracuse",10/15/2015,"Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,6,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,1711 Grant BOULEVARD,Syracuse,13208    ,330100,SYRACUSE,Cerio's Tavern,01/31/2017,,Tony Cerio Bar Corp,Cerio,Anthony,292600,Inspection,,,NY,"(43.072206, -76.139235)"
Gass Pump Tavern                    ,"1931 WEST Fayette STREET,  Syracuse",04/29/2016,"Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",1,0,5,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,1931 WEST Fayette STREET,Syracuse,13204    ,330100,SYRACUSE,Gass Pump Tavern,01/31/2017,,,Gass,Karen ,292588,Inspection,,Establishment has propbe/metal stem type thermometer onsite as required.,NY,"(43.054268, -76.1857)"
Eva's European Sweets               ,"1305 Milton AVENUE,  Syracuse",05/06/2016,"Item  1H-  Critical Violation [RED] Food from unapproved source, spoiled, adulterated on premises.; Item  5C-  Critical Violation [RED] Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures (room temperature storage).; ",2,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,1305 Milton AVENUE,Syracuse,13204    ,330100,SYRACUSE,Eva's European Sweets,01/31/2017,,,Zaczynski,Eva,293970,Inspection,,"Ensure that personal/employee food set up in designated area, and ensure that employees eat, wash hands, and then return to work; ensure food and beverage consumption does not occur at work station.",NY,"(43.059522, -76.199469)"
SU Life Sciences Café               ,"107 College PLACE,  Syracuse",11/18/2015,"Item 11D-   Non food contact surfaces of equipment not clean; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,2,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,107 College PLACE,Syracuse,13244    ,330100,SYRACUSE,SU Life Sciences Café,01/31/2017,,Syracuse University,Gallipeau,Jean,675796,Inspection,,,NY,"(43.037696, -76.13142)"
Christ Community Church of the Nazar,"3644 Warners ROAD,  Syracuse",04/05/2016,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,3644 Warners ROAD,Syracuse,13209    ,335000,CAMILLUS,Christ Community Church of the Nazarene,01/31/2017,,"Christ Community Church of the Nazarene, Inc.",,,548547,Inspection,,"no hazards/violations found at this time.  Ensure probe/metal-stem thermometer is onsite and used whenever serving foo to public.

Add to ehips: office.cccsyracuse@gmail.com",NY,"(43.057871, -76.263124)"
Gannon's Isle                       ,"4800 McDonald ROAD,  Syracuse",06/25/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; ",0,0,3,Food Service Establishment - Ice Cream Store,Onondaga County,ONONDAGA,4800 McDonald ROAD,Syracuse,13215    ,330100,SYRACUSE,Gannon's Isle,01/31/2017,,"Gannon's Ice Cream, Inc.",Gannon,Eileen,294770,Inspection,,,NY,"(43.016518, -76.183228)"
Valley Little League Concession     ,"401 Loomis AVENUE,  Syracuse",06/05/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded; ",0,0,3,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,401 Loomis AVENUE,Syracuse,13207    ,330100,SYRACUSE,Valley Little League Concession Stand,01/31/2017,,"Valley Little League, Inc.",Walsh,Wendy,564604,Inspection,,,NY,"(43.006939, -76.153338)"
Angotti's Family Restaurant         ,"725 Burnet AVENUE,  Syracuse",12/02/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,725 Burnet AVENUE,Syracuse,13203    ,330100,SYRACUSE,Angotti's Family Restaurant,01/31/2017,,"Angotti's Family Rest., Inc.",Angotti,Anthony,292550,Inspection,,Conditions satisfactory at this time.,NY,"(43.052157, -76.131909)"
Dr. Weeks Elementary School         ,"710 HAWLEY AVENUE,  SYRACUSE",07/07/2015,No violations found.,0,0,0,SED Summer Feeding Prog. - SED Satellite Feeding Site,Onondaga County,ONONDAGA,710 HAWLEY AVENUE,SYRACUSE,13203    ,330100,SYRACUSE,Dr. Weeks Elementary School/Inactive,08/14/2015,,Syracuse City School Distrist,Marchbanks,Annette,466857,Inspection,,"Conditions satisfactory to operate.  Hot hold, potatos and chicken in gravy > 140 Deg F.  Cold Hold <45 Deg F.",NY,"(43.055145, -76.133064)"
LeMoyne Elementary School           ,"528 LEMOYNE AVENUE,  Syracuse",07/07/2015,No violations found.,0,0,0,SED Summer Feeding Prog. - SED Satellite Feeding Site,Onondaga County,ONONDAGA,528 LEMOYNE AVENUE,Syracuse,13206    ,330000,ONONDAGA COUNTY,LeMoyne Elementary School,07/31/2015,,Syracuse City School Distrist,Marchbanks,Annette,467246,Inspection,,Conditions satisfactory at this time.,NY,"(43.071842, -76.161615)"
Food Bank of Central New York       ,"7066 Interstate Island ROAD,  Syracuse",06/30/2015,Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; ,1,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,7066 Interstate Island ROAD,Syracuse,13209    ,336800,VAN BUREN,Food Bank of Central New York,01/31/2017,,Food Bank of Central New York,Hudson,Heather,751127,Inspection,,**Note: Additional permit noted listed for facility. Additional report mailed to operator.,NY,"(43.11051, -76.277366)"
Chuck E. Cheese's #526              ,"3023 Erie Boulevard East,  Syracuse",04/15/2016,"Item  5A-  Critical Violation [RED] Potentially hazardous foods are not kept at or below 45oF during cold holding, except smoked fish not kept at or below 38oF during cold holding.; Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11D-   Non food contact surfaces of equipment not clean; Item 14A-   Insects, rodents present; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",1,0,5,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,3023 Erie Boulevard East  ,Syracuse,13214    ,330100,SYRACUSE,Chuck E. Cheese's #526,01/31/2017,,"CEC Entertainment, Inc.",McCray,Laura,539221,Inspection,,,NY,"(43.055602, -76.086265)"
Asil's Pub                          ,"220 Chapel DRIVE,  Syracuse",02/22/2016,"Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,2,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,220 Chapel DRIVE,Syracuse,13219    ,335000,CAMILLUS,Asil's Pub,01/31/2017,,"Asil's Pub, LLC",Petrus,Andrew,585675,Inspection,,,NY,"(43.045084, -76.243016)"
Rain Lounge                         ,"103-105 NORTH Geddes STREET,  Syracuse",09/22/2015,"Item  8B-   In use food dispensing utensils improperly stored; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; ",0,0,2,Food Service Establishment - Tavern,Onondaga County,ONONDAGA,103-105 NORTH Geddes STREET,Syracuse,13204    ,330100,SYRACUSE,Rain Lounge,01/31/2017,,"Duken, Inc.",Epolito,Lu Duke,788219,Inspection,,,NY,"(43.049153, -76.170823)"
Bellevue Elementary School          ,"530 STOLP AVENUE,  SYRACUSE",02/25/2016,"Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,1,Institutional Food Service - School K-12 Food Service,Onondaga County,ONONDAGA,530 STOLP AVENUE,SYRACUSE,13204    ,330100,SYRACUSE,Bellevue Elementary School,12/31/2016,,Syracuse City School District,Warner,Ken,466979,Inspection,,,NY,"(43.030202, -76.172556)"
James Geddes Apartments             ,"312 Gifford  STREET,  Syracuse",05/26/2015,Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; ,0,0,1,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,312 Gifford  STREET,Syracuse,13204    ,330100,SYRACUSE,James Geddes Apartments,01/31/2017,,Syracuse Housing Authority,Corriders,Craig,540815,Inspection,,,NY,"(43.04346, -76.158999)"
Locker Room (The)                   ,"528 Hiawatha BOULEVARD,  Syracuse",06/17/2015,"Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",1,0,1,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,528 Hiawatha BOULEVARD,Syracuse,13208    ,330100,SYRACUSE,Locker Room (The),01/31/2017,,"Fire & Ice, Inc.",Easterly,Frederick,294609,Inspection,,Co-Inspector Robin Arnold.,NY,"(43.075453, -76.162926)"
"PEACE, Inc Sr Nutrition @ Ross Tower","710-712 Lodi STREET,  Syracuse",10/26/2015,No violations found.,0,0,0,SOFA Food Service - SOFA Satellite Site -State Office for the Aging,Onondaga County,ONONDAGA,710-712 Lodi STREET,Syracuse,13202    ,330100,SYRACUSE,"P.E.A.C.E., Inc. Sr. Nutrition @ Ross Towers",01/31/2017,,"P.E.A.C.E., Inc.",O'Hara,Joseph,760580,Inspection,,At this time conditions satisfactory to operate.,NY,"(43.055688, -76.139084)"
Bellevue Elementary School          ,"530 STOLP AVENUE,  SYRACUSE",07/20/2015,No violations found.,0,0,0,SED Summer Feeding Prog. - SED Satellite Feeding Site,Onondaga County,ONONDAGA,530 STOLP AVENUE,SYRACUSE,13207    ,330000,ONONDAGA COUNTY,Bellevue Elementary School,07/31/2015,,Syracuse City School District,Marchbanks,Annette,466741,Inspection,,,NY,"(43.030202, -76.172556)"
Thornden Park Fieldhouse-Conc. Stand,"721 Ostrom AVENUE,  Syracuse",03/04/2016,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,721 Ostrom AVENUE,Syracuse,13210    ,330100,SYRACUSE,Thornden Park Fieldhouse - Concession Stand,01/31/2017,,City of Syracuse,Muhammad,Baye,294317,Inspection,,HM Conditions satisfactory at this time.,NY,"(43.038907, -76.126278)"
Attilio's Restaurant                ,"700 NORTH Salina STREET,  Syracuse",12/01/2015,"Item  9B-   Tobacco is used; eating, drinking in food preparation, dishwashing food storage areas; Item  9C-   Hair is improperly restrained; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,9,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,700 NORTH Salina STREET,Syracuse,13208    ,330100,SYRACUSE,Attilio's Restaurant,01/31/2017,,700 N. Salina Street LLC,Santaro,A. Louis,724148,Inspection,,Co-insp AD,NY,"(43.060603, -76.153098)"
LeMoyne Elementary School           ,"1528 LEMOYNE AVENUE,  SYRACUSE",02/04/2016,No violations found.,0,0,0,Institutional Food Service - School K-12 Food Service,Onondaga County,ONONDAGA,1528 LEMOYNE AVENUE,SYRACUSE,13208    ,330100,SYRACUSE,LeMoyne Elementary School,12/31/2016,,Syracuse City School District,Warner,Ken,466902,Inspection,,Conditions appear to be satisfactory at this time.,NY,"(43.08251, -76.149669)"
DJ's on the Blvd.                   ,"3010 Erie Boulevard East,  Syracuse",05/08/2015,"Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,3,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,3010 Erie Boulevard East  ,Syracuse,13224    ,330100,SYRACUSE,DJ's on the Blvd.,01/31/2017,,"DJ's on the Blvd., Inc.",Whittles,Dean,798328,Inspection,,,NY,"(43.055278, -76.086025)"
Sunnycrest Complex - Parks & Rec.   ,"600 ROBINSON STREET,  SYRACUSE",07/07/2015,No violations found.,0,0,0,SED Summer Feeding Prog. - SED Satellite Feeding Site,Onondaga County,ONONDAGA,600 ROBINSON STREET,SYRACUSE,13202    ,330100,SYRACUSE,Sunnycrest Complex - Parks & Recreation,07/24/2015,,Syracuse City School Distrist,Marchbanks,Annette,526020,Inspection,,"Conditions satisfactory to operate.  Lunch is a pre-bagged lunch with a turkey hoagie, carrots, milk and a fruit.   Cold hold in a thermo bag <45deg F.",NY,"(43.058439, -76.119653)"
Hampton Inn & Suites Erie Blvd/I-690,"3017 Erie Boulevard East,  Syracuse",09/03/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; ",0,0,2,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,3017 Erie Boulevard East  ,Syracuse,13224    ,330100,SYRACUSE,Hampton Inn & Suites Erie Blvd./I-690,01/31/2017,,"Om Sai Laxmi, LLC",Egbert-Rosenberger,Pamela,727158,Inspection,,,NY,"(43.055597, -76.086448)"
Saltine Warrior                     ,"214 WEST Water STREET,  Syracuse",12/11/2015,"Item 14A-   Insects, rodents present; ",0,0,1,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,214 WEST Water STREET,Syracuse,13202    ,330100,SYRACUSE,Saltine Warrior,01/31/2017,,Ixtapa Enterprises Inc.,Shahin,John,781945,Re-Inspection,,"Reinspection notes the majoriy of violations from the November 13, 2015 inspection have been corrected, recommend abate.",NY,"(43.050617, -76.154885)"
St. John the Baptist Ukrainian Catho,"207 Tompkins STREET,  Syracuse",08/07/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,207 Tompkins STREET,Syracuse,13204    ,330100,SYRACUSE,St. John the Baptist Ukrainian Catholic Church,01/31/2017,,St John the Baptist Ukrainian Catholic Church,,,294601,Inspection,,"**Note: Establishment has probe/metal-stem type thermometer onsite.  Mechanical dish machine must be used to properly sanitize dishes, utensils, and equipment; equipment that is too large for mechanical dish mahine can be sanitized in a dish tub with sanitizer.",NY,"(43.048259, -76.180866)"
Navarino Orchard                    ,"3655 Cherry Valley TURNPIKE,  Syracuse",10/03/2015,Item  8B-   In use food dispensing utensils improperly stored; ,0,0,1,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,3655 Cherry Valley TURNPIKE,Syracuse,13215    ,336100,ONONDAGA,Navarino Orchard,01/31/2017,,"Navarino Orchard, LLC",Sicignano,Teresa,589364,Inspection,,,NY,"(42.923666, -76.263455)"
