facility,address,zip,date_of_inspection,nys_health_operation_id,inspection_type,food_service_type,food_service_description,lat,lng,num_critical,num_non_critical,num_critical_not_corrected,num_critical_previous,num_non_critical_previous,num_non_critical_not_corrected_previous
Cafe Kubal,"720 University AVENUE,  Syracuse",13210,2015-03-31,814733,Re-Inspection,Food Service Establishment,Restaurant,43.042387,-76.134492,0,0,0,0,0,0
Cafe Kubal,"401 SOUTH Salina STREET,  Syracuse",13202,2015-05-14,788240,Inspection,Food Service Establishment,Restaurant,43.04696,-76.152156,0,11,0,0,0,0
Cafe Kubal,"324 Water STREET,  Syracuse",13202,2016-01-26,888877,Inspection,Food Service Establishment,Restaurant,NA,NA,2,1,0,0,11,0
Cafe Kubal,"324 Water STREET,  Syracuse",13202,2016-03-02,888877,Re-Inspection,Food Service Establishment,Restaurant,NA,NA,0,0,0,2,1,0
Cafe Kubal,"720 University AVENUE,  Syracuse",13210,2016-03-16,814733,Inspection,Food Service Establishment,Restaurant,43.042387,-76.134492,1,3,0,0,0,0
Cafe Kubal,"1 Children's Place, 11th Floor,  Syracuse",13210,2016-06-10,924898,Inspection,Food Service Establishment,Restaurant,NA,NA,0,0,0,1,3,0
Cafe Kubal,"401 SOUTH Salina STREET,  Syracuse",13202,2016-07-05,788240,Inspection,Food Service Establishment,Restaurant,43.04696,-76.152156,4,9,0,0,0,0
Cafe Kubal,"401 SOUTH Salina STREET,  Syracuse",13202,2016-08-04,788240,Re-Inspection,Food Service Establishment,Restaurant,43.04696,-76.152156,0,0,0,4,9,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2006-07-26,538086,Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,1,7,0,NA,NA,NA
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2006-11-29,538086,Re-Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,2,NA,0,1,7,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2007-01-23,538086,Re-Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,0,0,0,2,NA,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2007-05-14,538086,Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,2,9,0,0,0,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2008-01-15,538086,Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,3,16,0,2,9,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2008-01-28,538086,Re-Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,0,4,0,3,16,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2008-10-28,538086,Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,3,8,0,0,4,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2008-11-13,538086,Re-Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,0,0,0,3,8,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2009-07-01,538086,Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,8,8,0,0,0,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2009-07-21,538086,Re-Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,0,1,0,8,8,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2010-05-13,538086,Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,2,9,0,0,1,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2011-06-15,538086,Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,0,0,0,2,9,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2011-09-14,538086,Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,2,4,0,0,0,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2012-01-04,538086,Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,8,19,0,2,4,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2012-01-25,538086,Re-Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,0,1,0,8,19,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2012-07-30,538086,Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,4,11,0,0,1,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2012-08-16,538086,Re-Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,0,1,0,4,11,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2013-02-15,538086,Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,4,1,0,0,1,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2013-09-16,538086,Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,6,2,0,4,1,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2013-10-07,538086,Re-Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,0,0,0,6,2,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2014-04-02,538086,Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,3,0,1,0,0,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2014-11-03,538086,Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,0,5,0,3,0,1
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2014-12-18,538086,Re-Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,0,0,0,0,5,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2015-03-05,538086,Re-Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,0,0,0,0,0,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2015-09-28,538086,Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,3,0,0,0,0,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2016-02-24,538086,Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,4,1,0,3,0,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2016-08-31,538086,Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,0,4,0,4,1,0
Cajun Cafe & Grill of Carousel Centr,"9676 Destiny USA DRIVE,  Syracuse",13204,2016-09-23,538086,Re-Inspection,Food Service Establishment,Restaurant,43.070438,-76.16988,0,0,0,0,4,0
Calcanos Tavern,"136-138 NORTH Geddes STREET,  Syracuse",13204,2011-09-26,784898,Inspection,Food Service Establishment,Tavern,43.04946,-76.170646,0,1,0,NA,NA,NA
Calcanos Tavern,"136-138 NORTH Geddes STREET,  Syracuse",13204,2012-03-30,784898,Inspection,Food Service Establishment,Tavern,43.04946,-76.170646,0,1,0,0,1,0
Calcanos Tavern,"136-138 NORTH Geddes STREET,  Syracuse",13204,2013-05-15,784898,Inspection,Food Service Establishment,Tavern,43.04946,-76.170646,0,0,0,0,1,0
Calcanos Tavern,"136-138 NORTH Geddes STREET,  Syracuse",13204,2014-10-09,784898,Inspection,Food Service Establishment,Tavern,43.04946,-76.170646,0,1,0,0,0,0
Calcanos Tavern,"136-138 NORTH Geddes STREET,  Syracuse",13204,2015-12-21,784898,Inspection,Food Service Establishment,Tavern,43.04946,-76.170646,0,2,0,0,1,0
Calcanos Tavern,"136-138 NORTH Geddes STREET,  Syracuse",13204,2016-09-29,784898,Inspection,Food Service Establishment,Tavern,43.04946,-76.170646,0,1,0,0,2,0
Calios,"123 Marshall STREET,  Syracuse",13210,2014-03-04,859426,Inspection,Food Service Establishment,Restaurant,NA,NA,0,3,0,NA,NA,NA
Calios,"123 Marshall STREET,  Syracuse",13210,2015-04-22,859426,Inspection,Food Service Establishment,Restaurant,NA,NA,1,6,0,0,3,0
Calios,"123 Marshall STREET,  Syracuse",13210,2016-05-18,859426,Inspection,Food Service Establishment,Restaurant,NA,NA,0,0,0,1,6,0
Cam's Pizzeria,"1135 Salt Springs  ROAD,  Syracuse",13224,2010-08-23,743070,Inspection,Food Service Establishment,Restaurant,43.047697,-76.094735,0,1,0,NA,NA,NA
Cam's Pizzeria,"1135 Salt Springs  ROAD,  Syracuse",13224,2011-06-21,743070,Inspection,Food Service Establishment,Restaurant,43.047697,-76.094735,2,7,0,0,1,0
Cam's Pizzeria,"1135 Salt Springs  ROAD,  Syracuse",13224,2012-04-11,743070,Inspection,Food Service Establishment,Restaurant,43.047697,-76.094735,2,9,0,2,7,0
Cam's Pizzeria,"1135 Salt Springs  ROAD,  Syracuse",13224,2012-05-07,743070,Re-Inspection,Food Service Establishment,Restaurant,43.047697,-76.094735,1,6,0,2,9,0
Cam's Pizzeria,"1135 Salt Springs  ROAD,  Syracuse",13224,2012-05-16,743070,Re-Inspection,Food Service Establishment,Restaurant,43.047697,-76.094735,0,2,0,1,6,0
Cam's Pizzeria,"1135 Salt Springs  ROAD,  Syracuse",13224,2013-02-05,743070,Inspection,Food Service Establishment,Restaurant,43.047697,-76.094735,3,13,0,0,2,0
Cam's Pizzeria,"1135 Salt Springs  ROAD,  Syracuse",13224,2013-02-28,743070,Re-Inspection,Food Service Establishment,Restaurant,43.047697,-76.094735,1,3,0,3,13,0
Cam's Pizzeria,"1135 Salt Springs  ROAD,  Syracuse",13224,2014-04-16,743070,Inspection,Food Service Establishment,Restaurant,43.047697,-76.094735,1,5,0,1,3,0
Cam's Pizzeria,"1135 Salt Springs  ROAD,  Syracuse",13224,2015-03-20,743070,Inspection,Food Service Establishment,Restaurant,43.047697,-76.094735,0,8,0,1,5,0
Cam's Pizzeria,"1135 Salt Springs  ROAD,  Syracuse",13224,2016-04-05,743070,Inspection,Food Service Establishment,Restaurant,43.047697,-76.094735,1,5,0,0,8,0
Campus Activities Building Snack Bar,"155 Elizabeth Blackwell STREET,  Syracuse",13210,2006-02-08,539499,Re-Inspection,Food Service Establishment,Food Service Establishment,43.0435,-76.139137,0,2,0,NA,NA,NA
Campus Activities Building Snack Bar,"155 Elizabeth Blackwell STREET,  Syracuse",13210,2007-03-12,539499,Inspection,Food Service Establishment,Food Service Establishment,43.0435,-76.139137,0,30,0,0,2,0
Campus Activities Building Snack Bar,"155 Elizabeth Blackwell STREET,  Syracuse",13210,2007-10-19,539499,Inspection,Food Service Establishment,Food Service Establishment,43.0435,-76.139137,1,0,1,0,30,0
Campus Activities Building Snack Bar,"155 Elizabeth Blackwell STREET,  Syracuse",13210,2008-04-15,539499,Inspection,Food Service Establishment,Food Service Establishment,43.0435,-76.139137,4,2,1,1,0,1
Campus Activities Building Snack Bar,"155 Elizabeth Blackwell STREET,  Syracuse",13210,2008-04-30,539499,Re-Inspection,Food Service Establishment,Food Service Establishment,43.0435,-76.139137,0,0,0,4,2,1
Campus Activities Building Snack Bar,"155 Elizabeth Blackwell STREET,  Syracuse",13210,2009-09-30,539499,Inspection,Food Service Establishment,Food Service Establishment,43.0435,-76.139137,1,0,0,0,0,0
Campus Activities Building Snack Bar,"155 Elizabeth Blackwell STREET,  Syracuse",13210,2010-09-29,539499,Inspection,Food Service Establishment,Food Service Establishment,43.0435,-76.139137,1,0,0,1,0,0
Campus Activities Building Snack Bar,"155 Elizabeth Blackwell STREET,  Syracuse",13210,2011-08-18,539499,Inspection,Food Service Establishment,Food Service Establishment,43.0435,-76.139137,0,6,0,1,0,0
Campus Activities Building Snack Bar,"155 Elizabeth Blackwell STREET,  Syracuse",13210,2011-09-07,539499,Re-Inspection,Food Service Establishment,Food Service Establishment,43.0435,-76.139137,0,1,0,0,6,0
Campus Activities Building Snack Bar,"155 Elizabeth Blackwell STREET,  Syracuse",13210,2012-06-06,539499,Inspection,Food Service Establishment,Food Service Establishment,43.0435,-76.139137,0,1,0,0,1,0
Campus Activities Building Snack Bar,"155 Elizabeth Blackwell STREET,  Syracuse",13210,2013-05-20,539499,Inspection,Food Service Establishment,Food Service Establishment,43.0435,-76.139137,0,0,0,0,1,0
Campus Activities Building Snack Bar,"155 Elizabeth Blackwell STREET,  Syracuse",13210,2014-08-18,539499,Inspection,Food Service Establishment,Food Service Establishment,43.0435,-76.139137,1,0,0,0,0,0
Campus Activities Building Snack Bar,"155 Elizabeth Blackwell STREET,  Syracuse",13210,2015-10-21,539499,Inspection,Food Service Establishment,Food Service Establishment,43.0435,-76.139137,0,1,0,1,0,0
Cannon Street - Parks & Rec.,"529 Cannon STREET,  Syracuse",13205,2006-08-11,546343,Inspection,SED Summer Feeding Prog.,SED Satellite Feeding Site,43.020998,-76.14628,0,0,0,NA,NA,NA
Cannon Street - Parks & Rec.,"529 Cannon STREET,  Syracuse",13205,2007-08-06,546343,Inspection,SED Summer Feeding Prog.,SED Satellite Feeding Site,43.020998,-76.14628,0,0,0,0,0,0
Cannon Street - Parks & Rec.,"529 Cannon STREET,  Syracuse",13205,2008-08-07,546343,Inspection,SED Summer Feeding Prog.,SED Satellite Feeding Site,43.020998,-76.14628,0,0,0,0,0,0
Cannon Street - Parks & Rec.,"529 Cannon STREET,  Syracuse",13205,2009-07-14,546343,Inspection,SED Summer Feeding Prog.,SED Satellite Feeding Site,43.020998,-76.14628,0,0,0,0,0,0
Cannon Street - Parks & Rec.,"529 Cannon STREET,  Syracuse",13205,2010-07-06,546343,Inspection,SED Summer Feeding Prog.,SED Satellite Feeding Site,43.020998,-76.14628,0,0,0,0,0,0
Cannon Street - Parks & Rec.,"529 Cannon STREET,  Syracuse",13205,2011-07-20,546343,Inspection,SED Summer Feeding Prog.,SED Satellite Feeding Site,43.020998,-76.14628,0,1,0,0,0,0
Cannon Street - Parks & Rec.,"529 Cannon STREET,  Syracuse",13205,2012-07-16,546343,Inspection,SED Summer Feeding Prog.,SED Satellite Feeding Site,43.020998,-76.14628,0,1,0,0,1,0
Cannon Street - Parks & Rec.,"529 Cannon STREET,  Syracuse",13205,2013-07-17,546343,Inspection,SED Summer Feeding Prog.,SED Satellite Feeding Site,43.020998,-76.14628,0,1,0,0,1,0
Cantina Laredo Syracuse,"306 Hiawatha Boulevard West,  Syracuse",13204,2012-07-18,809729,Inspection,Food Service Establishment,Restaurant,43.066814,-76.170729,0,0,0,NA,NA,NA
Cantina Laredo Syracuse,"306 Hiawatha Boulevard West,  Syracuse",13204,2013-04-08,809729,Inspection,Food Service Establishment,Restaurant,43.066814,-76.170729,8,32,0,0,0,0
Cantina Laredo Syracuse,"306 Hiawatha Boulevard West,  Syracuse",13204,2013-04-30,809729,Re-Inspection,Food Service Establishment,Restaurant,43.066814,-76.170729,0,1,0,8,32,0
Cantina Laredo Syracuse,"306 Hiawatha Boulevard West,  Syracuse",13204,2014-03-11,809729,Inspection,Food Service Establishment,Restaurant,43.066814,-76.170729,6,18,0,0,1,0
Cantina Laredo Syracuse,"306 Hiawatha Boulevard West,  Syracuse",13204,2014-04-07,809729,Re-Inspection,Food Service Establishment,Restaurant,43.066814,-76.170729,0,2,0,6,18,0
Cantina Laredo Syracuse,"306 Hiawatha Boulevard West,  Syracuse",13204,2015-03-12,809729,Inspection,Food Service Establishment,Restaurant,43.066814,-76.170729,2,7,0,0,2,0
Cantina Laredo Syracuse,"306 Hiawatha Boulevard West,  Syracuse",13204,2016-03-02,809729,Inspection,Food Service Establishment,Restaurant,43.066814,-76.170729,2,13,0,2,7,0
Cantina Laredo Syracuse,"306 Hiawatha Boulevard West,  Syracuse",13204,2016-03-21,809729,Re-Inspection,Food Service Establishment,Restaurant,43.066814,-76.170729,0,2,0,2,13,0
Caramelcorn Shoppe,"9828 Destiny USA Drive,  Syracuse",13204,2006-08-22,294686,Inspection,Food Service Establishment,Restaurant,43.070753,-76.170207,0,4,0,NA,NA,NA
Caramelcorn Shoppe,"9828 Destiny USA Drive,  Syracuse",13204,2007-07-13,294686,Inspection,Food Service Establishment,Restaurant,43.070753,-76.170207,0,6,0,0,4,0
Caramelcorn Shoppe,"9828 Destiny USA Drive,  Syracuse",13204,2008-06-03,294686,Inspection,Food Service Establishment,Restaurant,43.070753,-76.170207,0,3,0,0,6,0
Caramelcorn Shoppe,"9828 Destiny USA Drive,  Syracuse",13204,2009-06-17,294686,Inspection,Food Service Establishment,Restaurant,43.070753,-76.170207,1,1,1,0,3,0
Caramelcorn Shoppe,"9828 Destiny USA Drive,  Syracuse",13204,2010-06-02,294686,Inspection,Food Service Establishment,Restaurant,43.070753,-76.170207,0,2,0,1,1,1
Caramelcorn Shoppe,"9828 Destiny USA Drive,  Syracuse",13204,2011-05-31,294686,Inspection,Food Service Establishment,Restaurant,43.070753,-76.170207,0,7,0,0,2,0
Caramelcorn Shoppe,"9828 Destiny USA Drive,  Syracuse",13204,2012-02-15,294686,Inspection,Food Service Establishment,Restaurant,43.070753,-76.170207,1,17,0,0,7,0
Caramelcorn Shoppe,"9828 Destiny USA Drive,  Syracuse",13204,2012-03-09,294686,Re-Inspection,Food Service Establishment,Restaurant,43.070753,-76.170207,0,2,0,1,17,0
Caramelcorn Shoppe,"9828 Destiny USA Drive,  Syracuse",13204,2012-08-21,294686,Inspection,Food Service Establishment,Restaurant,43.070753,-76.170207,0,1,0,0,2,0
Caramelcorn Shoppe,"9828 Destiny USA Drive,  Syracuse",13204,2013-03-14,294686,Inspection,Food Service Establishment,Restaurant,43.070753,-76.170207,0,2,0,0,1,0
Caramelcorn Shoppe,"9828 Destiny USA Drive,  Syracuse",13204,2013-12-12,294686,Inspection,Food Service Establishment,Restaurant,43.070753,-76.170207,0,6,0,0,2,0
Caramelcorn Shoppe,"9828 Destiny USA Drive,  Syracuse",13204,2014-09-25,294686,Inspection,Food Service Establishment,Restaurant,43.070753,-76.170207,0,1,0,0,6,0
Caramelcorn Shoppe,"9828 Destiny USA Drive,  Syracuse",13204,2015-06-08,294686,Inspection,Food Service Establishment,Restaurant,43.070753,-76.170207,0,3,0,0,1,0
Caramelcorn Shoppe,"9828 Destiny USA Drive,  Syracuse",13204,2016-06-27,294686,Inspection,Food Service Establishment,Restaurant,43.070753,-76.170207,0,2,0,0,3,0
Carl's Kountry Kitchen,"2300 Teall  AVENUE,  Syracuse",13206,2013-01-14,824942,Inspection,Food Service Establishment,Restaurant,NA,NA,0,0,0,NA,NA,NA
Carl's Kountry Kitchen,"2300 Teall  AVENUE,  Syracuse",13206,2013-09-11,824942,Inspection,Food Service Establishment,Restaurant,NA,NA,0,3,0,0,0,0
Carl's Kountry Kitchen,"2300 Teall  AVENUE,  Syracuse",13206,2014-03-24,824942,Inspection,Food Service Establishment,Restaurant,NA,NA,2,4,0,0,3,0
Carl's Kountry Kitchen,"2300 Teall  AVENUE,  Syracuse",13206,2015-03-23,824942,Inspection,Food Service Establishment,Restaurant,NA,NA,1,5,0,2,4,0
Carl's Kountry Kitchen,"2300 Teall  AVENUE,  Syracuse",13206,2016-01-06,824942,Inspection,Food Service Establishment,Restaurant,NA,NA,0,4,0,1,5,0
Carol's Polar Parlor,"3800 WEST Genesee STREET,  Syracuse",13219,2008-04-18,652468,Inspection,Food Service Establishment,Restaurant,43.046832,-76.239667,0,5,0,NA,NA,NA
Carol's Polar Parlor,"3800 WEST Genesee STREET,  Syracuse",13219,2009-06-03,652468,Inspection,Food Service Establishment,Restaurant,43.046832,-76.239667,1,1,0,0,5,0
Carol's Polar Parlor,"3800 WEST Genesee STREET,  Syracuse",13219,2010-04-28,652468,Inspection,Food Service Establishment,Restaurant,43.046832,-76.239667,0,1,0,1,1,0
Carol's Polar Parlor,"3800 WEST Genesee STREET,  Syracuse",13219,2011-04-08,652468,Inspection,Food Service Establishment,Restaurant,43.046832,-76.239667,0,1,0,0,1,0
Carol's Polar Parlor,"3800 WEST Genesee STREET,  Syracuse",13219,2012-03-20,652468,Inspection,Food Service Establishment,Restaurant,43.046832,-76.239667,0,0,0,0,1,0
Carol's Polar Parlor,"3800 WEST Genesee STREET,  Syracuse",13219,2013-05-03,652468,Inspection,Food Service Establishment,Restaurant,43.046832,-76.239667,0,0,0,0,0,0
Carol's Polar Parlor,"3800 WEST Genesee STREET,  Syracuse",13219,2014-05-09,652468,Inspection,Food Service Establishment,Restaurant,43.046832,-76.239667,0,0,0,0,0,0
Carol's Polar Parlor,"3800 WEST Genesee STREET,  Syracuse",13219,2015-05-04,652468,Inspection,Food Service Establishment,Restaurant,43.046832,-76.239667,0,0,0,0,0,0
Carol's Polar Parlor,"3800 WEST Genesee STREET,  Syracuse",13219,2016-04-20,652468,Inspection,Food Service Establishment,Restaurant,43.046832,-76.239667,0,0,0,0,0,0
Carousel Mall Stadium Concessions #2,"9586 Destiny USA DRIVE,  Syracuse",13204,2013-06-11,837125,Inspection,Food Service Establishment,Food Service Establishment,NA,NA,0,0,0,NA,NA,NA
Carousel Mall Stadium Concessions #2,"9586 Destiny USA DRIVE,  Syracuse",13204,2013-11-07,837125,Inspection,Food Service Establishment,Food Service Establishment,NA,NA,1,0,0,0,0,0
Carousel Mall Stadium Concessions #2,"9586 Destiny USA DRIVE,  Syracuse",13204,2014-09-22,837125,Inspection,Food Service Establishment,Food Service Establishment,NA,NA,0,0,0,1,0,0
Carousel Mall Stadium Concessions #2,"9586 Destiny USA DRIVE,  Syracuse",13204,2015-04-22,837125,Inspection,Food Service Establishment,Food Service Establishment,NA,NA,0,3,0,0,0,0
Carousel Mall Stadium Concessions #2,"9586 Destiny USA DRIVE,  Syracuse",13204,2016-04-07,837125,Inspection,Food Service Establishment,Food Service Establishment,NA,NA,0,1,0,0,3,0
Casa Del Pane Italian Bakery,"3247 Milton AVENUE,  Syracuse",13219,2006-04-20,294143,Inspection,Food Service Establishment,Bakery,43.054699,-76.23431,0,4,0,NA,NA,NA
Casa Del Pane Italian Bakery,"3247 Milton AVENUE,  Syracuse",13219,2007-05-10,294143,Inspection,Food Service Establishment,Bakery,43.054699,-76.23431,2,17,1,0,4,0
Casa Del Pane Italian Bakery,"3247 Milton AVENUE,  Syracuse",13219,2007-05-21,294143,Re-Inspection,Food Service Establishment,Bakery,43.054699,-76.23431,0,2,0,2,17,1
Casa Del Pane Italian Bakery,"3247 Milton AVENUE,  Syracuse",13219,2008-06-04,294143,Inspection,Food Service Establishment,Bakery,43.054699,-76.23431,1,4,0,0,2,0
Casa Del Pane Italian Bakery,"3247 Milton AVENUE,  Syracuse",13219,2009-11-18,294143,Inspection,Food Service Establishment,Bakery,43.054699,-76.23431,0,2,0,1,4,0
Casa Del Pane Italian Bakery,"3247 Milton AVENUE,  Syracuse",13219,2010-11-09,294143,Inspection,Food Service Establishment,Bakery,43.054699,-76.23431,1,9,0,0,2,0
Casa Del Pane Italian Bakery,"3247 Milton AVENUE,  Syracuse",13219,2011-09-29,294143,Inspection,Food Service Establishment,Bakery,43.054699,-76.23431,0,6,0,1,9,0
Casa Del Pane Italian Bakery,"3247 Milton AVENUE,  Syracuse",13219,2012-09-18,294143,Inspection,Food Service Establishment,Bakery,43.054699,-76.23431,1,3,0,0,6,0
Casa Del Pane Italian Bakery,"3247 Milton AVENUE,  Syracuse",13219,2013-08-06,294143,Inspection,Food Service Establishment,Bakery,43.054699,-76.23431,2,3,0,1,3,0
Casa Del Pane Italian Bakery,"3247 Milton AVENUE,  Syracuse",13219,2014-04-24,294143,Inspection,Food Service Establishment,Bakery,43.054699,-76.23431,0,5,0,2,3,0
Casa Del Pane Italian Bakery,"3247 Milton AVENUE,  Syracuse",13219,2015-01-15,294143,Inspection,Food Service Establishment,Bakery,43.054699,-76.23431,0,7,0,0,5,0
Casa Del Pane Italian Bakery,"3247 Milton AVENUE,  Syracuse",13219,2016-01-20,294143,Inspection,Food Service Establishment,Bakery,43.054699,-76.23431,1,6,0,0,7,0
Casa Di Copani Restaurant,"3414 Burnet AVENUE,  Syracuse",13206,2006-04-05,292558,Inspection,Food Service Establishment,Restaurant,43.061177,-76.090461,0,5,0,NA,NA,NA
Casa Di Copani Restaurant,"3414 Burnet AVENUE,  Syracuse",13206,2007-10-05,292558,Inspection,Food Service Establishment,Restaurant,43.061177,-76.090461,0,9,0,0,5,0
Casa Di Copani Restaurant,"3414 Burnet AVENUE,  Syracuse",13206,2008-04-16,292558,Inspection,Food Service Establishment,Restaurant,43.061177,-76.090461,0,15,0,0,9,0
Casa Di Copani Restaurant,"3414 Burnet AVENUE,  Syracuse",13206,2009-04-30,292558,Inspection,Food Service Establishment,Restaurant,43.061177,-76.090461,2,19,0,0,15,0
Casa Di Copani Restaurant,"3414 Burnet AVENUE,  Syracuse",13206,2009-05-11,292558,Re-Inspection,Food Service Establishment,Restaurant,43.061177,-76.090461,0,8,0,2,19,0
Casa Di Copani Restaurant,"3414 Burnet AVENUE,  Syracuse",13206,2010-03-24,292558,Inspection,Food Service Establishment,Restaurant,43.061177,-76.090461,2,14,0,0,8,0
Casa Di Copani Restaurant,"3414 Burnet AVENUE,  Syracuse",13206,2010-09-13,292558,Re-Inspection,Food Service Establishment,Restaurant,43.061177,-76.090461,0,0,0,2,14,0
Casa Di Copani Restaurant,"3414 Burnet AVENUE,  Syracuse",13206,2011-10-21,292558,Inspection,Food Service Establishment,Restaurant,43.061177,-76.090461,2,16,0,0,0,0
Casa Di Copani Restaurant,"3414 Burnet AVENUE,  Syracuse",13206,2011-11-09,292558,Re-Inspection,Food Service Establishment,Restaurant,43.061177,-76.090461,0,2,0,2,16,0
Casa Di Copani Restaurant,"3414 Burnet AVENUE,  Syracuse",13206,2012-08-30,292558,Inspection,Food Service Establishment,Restaurant,43.061177,-76.090461,3,15,0,0,2,0
Casa Di Copani Restaurant,"3414 Burnet AVENUE,  Syracuse",13206,2012-09-14,292558,Re-Inspection,Food Service Establishment,Restaurant,43.061177,-76.090461,0,2,0,3,15,0
Casa Di Copani Restaurant,"3414 Burnet AVENUE,  Syracuse",13206,2013-02-25,292558,Inspection,Food Service Establishment,Restaurant,43.061177,-76.090461,1,14,0,0,2,0
Casa Di Copani Restaurant,"3414 Burnet AVENUE,  Syracuse",13206,2014-01-10,292558,Inspection,Food Service Establishment,Restaurant,43.061177,-76.090461,3,26,1,1,14,0
Casa Di Copani Restaurant,"3414 Burnet AVENUE,  Syracuse",13206,2014-01-29,292558,Re-Inspection,Food Service Establishment,Restaurant,43.061177,-76.090461,0,17,0,3,26,1
Casa Di Copani Restaurant,"3414 Burnet AVENUE,  Syracuse",13206,2014-02-18,292558,Re-Inspection,Food Service Establishment,Restaurant,43.061177,-76.090461,0,3,0,0,17,0
Casa Di Copani Restaurant,"3414 Burnet AVENUE,  Syracuse",13206,2014-12-19,292558,Inspection,Food Service Establishment,Restaurant,43.061177,-76.090461,2,11,0,0,3,0
Casa Di Copani Restaurant,"3414 Burnet AVENUE,  Syracuse",13206,2015-10-08,292558,Inspection,Food Service Establishment,Restaurant,43.061177,-76.090461,2,20,0,2,11,0
Casa Di Copani Restaurant,"3414 Burnet AVENUE,  Syracuse",13206,2015-11-02,292558,Re-Inspection,Food Service Establishment,Restaurant,43.061177,-76.090461,0,8,0,2,20,0
Casa Di Copani Restaurant,"3414 Burnet AVENUE,  Syracuse",13206,2016-09-15,292558,Inspection,Food Service Establishment,Restaurant,43.061177,-76.090461,0,14,0,0,8,0
